,WD,arkid,nameAuth,urlAuth,Auktoriserad,Datum,Auktoritetspost,WD_Arken
4273,,,"Gustafsson Cederström, Olof",gustafsson-cederstrom-olof,"Gustafsson Cederström, Olof",1760-1831,https://libris.kb.se/1zcgnpkk4pxxckl#it,Arken_only
4274,,,"Gustafsson Rosenqvist, Barbro","Gustafsson-Rosenqvist,-Barbro","Gustafsson Rosenqvist, Barbro",1945-,https://libris.kb.se/sq467t7b54z8zs7#it,Arken_only
4275,,,"Gustafsson, Lars","Gustafsson,-Lars","Gustafsson, Lars",1936-2016,https://libris.kb.se/b8nqqtsv00pkjkd#it,Arken_only
4277,,,"Gyldenstolpe, Ulrik Wilhelm","Gyldenstolpe,-Ulrik-Wilhelm","Gyldenstolpe, Ulrik Wilhelm",1808-1863,https://libris.kb.se/pm14c4s718bp29n,Arken_only
4283,,,"Gyllensköld, Maria Aurora","Gyllensköld,-Maria-Aurora","Gyllensköld, Maria Aurora",1788-1860,ediffah:kb:342907:1414582645,Arken_only
4284,,,"Gyllenstierna, Nils","Gyllenstierna,-Nils","Gyllenstierna, Nils",1826-1905,ediffah:kb:127977:1235146258,Arken_only
4287,,,Göteborgstidningen,Göteborgstidningen,Göteborgstidningen,,https://libris.kb.se/42gjg03n5qxqs9q#it,Arken_only
4294,,,"Hagbarth, Lou","Hagbarth,-Lou","Hagbarth, Lou",1954-,ediffah:kb:126807:1500544007,Arken_only
4295,,,Hagberg (släkt),Hagberg-släkt,Hagberg (släkt),,http://libris.kb.se/resource/bib/17260979,Arken_only
4297,,,"Hagelin, Ove","Hagelin,-Ove","Hagelin, Ove",1940-,https://libris.kb.se/97mpqlnt4l16v02#it,Arken_only
4299,,,"Hagenby, Ingrid","Hagenby,-Ingrid","Hagenby, Ingrid",1909-,ediffah:kb:548831:1137570216,Arken_only
4302,,,"Hagman, Bertil","Hagman,-Bertil","Hagman, Bertil",1919-2008,https://libris.kb.se/b8nrw95v5rd8h8c#it,Arken_only
4303,,,"Hagner, Mats",hagner-mats,"Hagner, Mats",1934-,https://libris.kb.se/khwzx53342v57bg#it,Arken_only
4305,,,"Hagwall, Ellen Mathilda","Hagwall,-Ellen-Mathilda","Hagwall, Ellen Mathilda",1872-1940,https://libris.kb.se/64jmvnqq50dxt0t,Arken_only
4306,,,"Hagwall, Emil","Hagwall,-Emil","Hagwall, Emil",1871-1957,https://libris.kb.se/53hltmpp1gsm0rf,Arken_only
4309,,,"Hahn, Alfred Edvard","Hahn,-Alfred-Edvard","Hahn, Alfred Edvard",1841-1920,ediffah:kb:775167:1221739081,Arken_only
4310,,,"Hahn, Augusta Charlotta","Hahn,-Augusta-Charlotta","Hahn, Augusta Charlotta",1847-1925,ediffah:kb:775167:1221739081,Arken_only
4313,,,"Hallbeck, Nils",hallbeck-nils,"Hallbeck, Nils",1907-1997,https://libris.kb.se/1zcfh52k575bx94#it,Arken_only
4314,,,Hallberg (släkt),Hallberg-släkt,Hallberg (släkt),,ediffah:kb:997343:1136898126,Arken_only
4315,,,"Hallberg, Erik Gunnar","Hallberg,-Erik-Gunnar","Hallberg, Erik Gunnar",1897-1957,https://libris.kb.se/75kmpc8r5t89rts#it,Arken_only
4318,,,"Hallenborg, Ivar","Hallenborg,-Ivar","Hallenborg, Ivar",1880-1972,ediffah:kb:769727:1463656838,Arken_only
4319,,,"Hallenborg, Madeleine","Hallenborg,-Madeleine","Hallenborg, Madeleine",1902-1988,ediffah:kb:127475:1140095076,Arken_only
4321,,,"Hallencreutz, Sten Engelbert","Hallencreutz,-Sten-Engelbert","Hallencreutz, Sten Engelbert",1787-1884,https://libris.kb.se/97mqt3ft4qchb7t#it,Arken_only
4324,,,"Hallström, Anders","Hallström,-Anders","Hallström, Anders",1929-1988,ediffah:kb:513997:1442923205,Arken_only
4339,,,"Halpap, Lucas",halpap-lucas,"Halpap, Lucas",,https://libris.kb.se/64jlpc4q2gnjggv#it,Arken_only
4346,,,Hammarskjöld (släkt),Hammarskjöld-släkt,Hammarskjöld (släkt),,http://libris.kb.se/resource/bib/17260844,Arken_only
4349,,,"Hammarström, Axel Bernhard","Hammarström,-Axel-Bernhard","Hammarström, Axel Bernhard",1887-1962,ediffah:kb:979933:1164636266,Arken_only
4350,,,"Hammarström, Blenda","Hammarström,-Blenda","Hammarström, Blenda",1886-,ediffah:kb:979933:1164636266,Arken_only
4352,,,"Hammarström, Karin","Hammarström,-Karin","Hammarström, Karin",1921-,ediffah:kb:979933:1164636266,Arken_only
4356,,,"Hansson, Ester","Hansson,-Ester","Hansson, Ester",1880-1963,ediffah:kb:775167:1221739081,Arken_only
4364,,,"Harryan, Karin","Harryan,-Karin","Harryan, Karin",1899-1990,https://libris.kb.se/hftx5xv108d95dv#it,Arken_only
4366,,,"Hartman, Sven G.",hartman-sven-g,"Hartman, Sven G.",1941-,http://libris.kb.se/resource/auth/208708,Arken_only
4367,,,"Haskell, Henry C","Haskell,-Henry-C","Haskell, Henry C",1902-1981,ediffah:kb:684210:1437029807,Arken_only
4368,,,"Haskell, Henry J","Haskell,-Henry-J","Haskell, Henry J",1874-1952,ediffah:kb:684210:1437029807,Arken_only
4369,,,"Hasselrot, Mathias","Hasselrot,-Mathias","Hasselrot, Mathias",1769-1839,ediffah:kb:713725:1461063661,Arken_only
4371,,,"Hauffman, Curt","Hauffman,-Curt","Hauffman, Curt",1927-,https://libris.kb.se/hftwxxm15hrkvw0,Arken_only
4372,,,"Hauswolff, Justus Olivier von","Hauswolff,-Justus-Olivier-von","Hauswolff, Justus Olivier von",1766-1854,ediffah:kb:884655:1188307290,Arken_only
4374,,,"Hazelius, August Emil","Hazelius,-August-Emil","Hazelius, August Emil",1847-1902,ediffah:kb:655292:1187346398,Arken_only
4375,,,"Hazelius, Thérèse Viktoria Karolina","Hazelius,-Thérèse-Viktoria-Karolina","Hazelius, Thérèse Viktoria Karolina",1849-1929,ediffah:kb:655292:1187346398,Arken_only
4376,,,"Heap-Åberg, Augusta","Heap-Åberg,-Augusta","Heap-Åberg, Augusta",1865-1942,ediffah:kb:655103:1368604073,Arken_only
4384,,,"Hedenvind-Eriksson, Gustav Hedvin","Hedenvind-Eriksson,-Gustav-Hedvin","Hedenvind-Eriksson, Gustav Hedvin",1880-1967,ediffah:kb:390909:1429861284,Arken_only
4389,,,"Hedström, Herman Oscar","Hedström,-Herman-Oscar","Hedström, Herman Oscar",1867-1947,ediffah:kb:1002333:1136894476,Arken_only
4390,,,"Hedvall, Bo","Hedvall,-Bo","Hedvall, Bo",1917-1989,https://libris.kb.se/mkz292v55cv4ww5,Arken_only
4392,,,"Heiberg, Anna","Heiberg,-Anna","Heiberg, Anna",1854-1916,ediffah:kb:682239:1178726273,Arken_only
4394,,,"Heidenstam, Emilia von","Heidenstam,-Emilia-von","Heidenstam, Emilia von",1856-1938,ediffah:kb:391143:1149508338,Arken_only
4398,,,"Heijne, von (släkt)","Heijne,-von-släkt","Heijne, von (släkt)",,ediffah:kb:487388:1187260299,Arken_only
4399,,,"Heilborn, Otto Henrik","Heilborn,-Otto-Henrik","Heilborn, Otto Henrik",1856-1909,ediffah:kb:655292:1187346398,Arken_only
4402,,,"Hellberg, Karl Mauritz","Hellberg,-Karl-Mauritz","Hellberg, Karl Mauritz",1859-1947,ediffah:kb:1014015:1397462179,Arken_only
4404,,,"Hellbom, Algot",hellbom-algot,"Hellbom, Algot",1903-1996,https://libris.kb.se/64jlm8qq07q8d26#it,Arken_only
4406,,,"Hellman, Eskil",hellman-eskil,"Hellman, Eskil",1890-1979,https://libris.kb.se/frvfvts6c998gr13#it,Arken_only
4407,,,"Hellquist, Carl Gustaf Ingemar","Hellquist,-Carl-Gustaf-Ingemar","Hellquist, Carl Gustaf Ingemar",1896-1973,ediffah:kb:450489:1429185659,Arken_only
4408,,,"Hellström, Erik","Hellström,-Erik","Hellström, Erik",1893-1982,https://libris.kb.se/sq47g8db1phbgjx,Arken_only
4409,,,"Hellström, Nils",hellstrom-nils,"Hellström, Nils",1877-1941,https://libris.kb.se/1zcgm93k1flntfg#it,Arken_only
4416,,,"Henriksson, Katarina","Henriksson,-Katarina","Henriksson, Katarina",,ediffah:kb:895719:1163076266,Arken_only
4417,,,"Herdin, Augusta","Herdin,-Augusta","Herdin, Augusta",1862-1935,ediffah:kb:750990:1354002454,Arken_only
4418,,,Herlin (släkt),Herlin-släkt,Herlin (släkt),,ediffah:kb:996603:1425646408,Arken_only
4419,,,"Herlin, Valborg","Herlin,-Valborg","Herlin, Valborg",,ediffah:kb:996603:1425646408,Arken_only
4420,,,"Herlin-Lindberg, Gunhild","Herlin-Lindberg,-Gunhild","Herlin-Lindberg, Gunhild",1883-,ediffah:kb:996603:1425646408,Arken_only
4424,,,"Herner, Torsten","Herner,-Torsten","Herner, Torsten",1908-1996,https://libris.kb.se/42gjk5wn1lwg78r#it,Arken_only
4433,,,"Hierta, Hedvig Elisabeth","Hierta,-Hedvig-Elisabeth","Hierta, Hedvig Elisabeth",1834-1910,ediffah:kb:923519:1188315495,Arken_only
4438,,,"Hillmén, Gustaf Hilmer","Hillmén,-Gustaf-Hilmer","Hillmén, Gustaf Hilmer",1897-1952,ediffah:kb:147174:1240401038,Arken_only
4440,,,"Himmelstrand, Hjalmar Victor","Himmelstrand,-Hjalmar-Victor","Himmelstrand, Hjalmar Victor",1870-1939,ediffah:kb:980671:1368617768,Arken_only
4443,,,"Hirschfelt, Frank","Hirschfelt,-Frank","Hirschfelt, Frank",,ediffah:kb:311229:1367491875,Arken_only
4446,,,"Hjelmqvist, Nils Fredrik",hjelmqvist-nils-fredrik,"Hjelmqvist, Nils Fredrik",1931-2013,https://libris.kb.se/zw9cd3ph1zpv6mk#it,Arken_only
4447,,,"Hjerner, Lars","Hjerner,-Lars","Hjerner, Lars",1922-2006,https://libris.kb.se/khw058c31s9vlt9#it,Arken_only
4451,,,"Hjorth, Wilhelm","Hjorth,-Wilhelm","Hjorth, Wilhelm",1861-1939,ediffah:kb:471034:1255429718,Arken_only
4452,,,"Hjörne, Harald Gabriel","Hjörne,-Harald-Gabriel","Hjörne, Harald Gabriel",1848-1922,ediffah:kb:736495:1364311334,Arken_only
4456,,,"Hoffman, Magdalena Charlotta","Hoffman,-Magdalena-Charlotta","Hoffman, Magdalena Charlotta",1809-1842,ediffah:kb:587676:1189788900,Arken_only
4462,,,"Holmberg, Nils","Holmberg,-Nils","Holmberg, Nils",1931-2007,ediffah:kb:455930:1429861212,Arken_only
4464,,,"Holmberg, Yngve","Holmberg,-Yngve","Holmberg, Yngve",1925-1965,https://libris.kb.se/6jrgv17646gffcr4#it,Arken_only
4467,,,"Holmqvist, Karl Oskar","Holmqvist,-Karl-Oskar","Holmqvist, Karl Oskar",,ediffah:kb:261115:1187190265,Arken_only
4476,,,"Hultmark, Astrid","Hultmark,-Astrid","Hultmark, Astrid",1879-1950,ediffah:kb:556487:1240994613,Arken_only
4477,,,"Hultmark, Carna","Hultmark,-Carna","Hultmark, Carna",1914-2001,ediffah:kb:784807:1239004212,Arken_only
4478,,,"Hultmark, David","Hultmark,-David","Hultmark, David",1878-1957,https://libris.kb.se/75kmpjnr3xtzxth#it,Arken_only
4479,,,"Hultmark, Gunnar","Hultmark,-Gunnar","Hultmark, Gunnar",1916-2005,ediffah:kb:556487:1240994613,Arken_only
4480,,,"Hultmark, Richard","Hultmark,-Richard","Hultmark, Richard",1867-1935,ediffah:kb:556487:1240994613,Arken_only
4482,,,Humble (släkt),"Humble,-släkt",Humble (släkt),,ediffah:kb:187711:1164298494,Arken_only
4485,,,"Huss-Danell, Kerstin",huss-danell-kerstin,"Huss-Danell, Kerstin",1950-,https://libris.kb.se/wt795qlf5q0z987#it,Arken_only
4488,,,Hägg (släkt),Hägg-släkt,Hägg (släkt),,http://libris.kb.se/resource/bib/17261202,Arken_only
4495,,,"Håkansson, Tore","Håkansson,-Tore","Håkansson, Tore",1910-2006,ediffah:kb:523096:1368603703,Arken_only
4497,,,"Hård af Segerstad, Gabriel Alexander","Hård-af-Segerstad,-Gabriel-Alexander","Hård af Segerstad, Gabriel Alexander",1781-1855,ediffah:kb:265215:1140533158,Arken_only
4499,,,"Hög, Sigrid","Hög,-Sigrid","Hög, Sigrid",1917-2006,https://libris.kb.se/1zcgn61k5j3cz6h#it,Arken_only
4502,,,"Höglund, Erik","Höglund,-Erik","Höglund, Erik",,http://libris.kb.se/resource/bib/17260938,Arken_only
4503,,,"Högman, Frida","Högman,-Frida","Högman, Frida",1860-,ediffah:kb:448494:1187971330,Arken_only
4504,,,"Högstadius, Jacob Oscar","Högstadius,-Jacob-Oscar","Högstadius, Jacob Oscar",1829-1903,https://libris.kb.se/c9ps1txw59b54b1,Arken_only
4505,,,"Högstadius, Olof","Högstadius,-Olof","Högstadius, Olof",1911-2007,ediffah:kb:277887:1412130042,Arken_only
4506,,,"Höijer, Gustaf",hoijer-gustaf,"Höijer, Gustaf",1849-1898,https://libris.kb.se/mkz26dc53rt2vp0#it,Arken_only
4510,,,"Hülphers, Abraham Abrahamsson",hulphers-abraham-abrahamsson,"Hülphers, Abraham Abrahamsson",1734-1798,https://libris.kb.se/64jlnmwq3bdpn3r#it,Arken_only
4512,,,Idrottsklubben Studenterna i Umeå,idrottsklubben-studenterna-i-umea,Idrottsklubben Studenterna i Umeå,,https://libris.kb.se/53hlt4mp0sfbpg9#it,Arken_only
4513,,,Idun,Idun,Idun,,https://libris.kb.se/mkz1z1w5397csbg#it,Arken_only
4517,,,"Ingemanson, Birgitta",ingemanson,"Ingemanson, Birgitta",,https://libris.kb.se/0xbdg5zj2qvqkxl#it,Arken_only
4518,,,Ingeniörsfirman VIAK,Ingeniörsfirman-VIAK,Ingeniörsfirman VIAK,,https://libris.kb.se/c9prqw5w5vn2fmc#it,Arken_only
4520,,,Isaacsson (släkt),Isaacsson-släkt,Isaacsson (släkt),,ediffah:kb:310718:1377679485,Arken_only
4521,,,"Isaacsson, Helfrid","Isaacsson,-Helfrid","Isaacsson, Helfrid",1897-1955,ediffah:kb:124157:1366985803,Arken_only
4522,,,"Isberg, Fridolf","Isberg,-Fridolf","Isberg, Fridolf",1906-1980,ediffah:kb:785293:1367491793,Arken_only
4527,,,"Jaakson, Mall",jaakson-mall,"Jaakson, Mall",1925-,https://libris.kb.se/vs69kkwd53jh7vd#it,Arken_only
4532,,,"Jacobsson, Carl","Jacobsson,-Carl","Jacobsson, Carl",1887-1970,ediffah:kb:159421:1142596477,Arken_only
4534,,,"Jacobsson, Paula","Jacobsson,-Paula","Jacobsson, Paula",1957-,https://libris.kb.se/wt7bhdvf25fh5cn#it,Arken_only
4535,,,"Jacobsson, Selma","Jacobsson,-Selma","Jacobsson, Selma",1846-1901,ediffah:kb:445895:1232374701,Arken_only
4537,,,"Jakobsson, Herman","Jakobsson,-Herman","Jakobsson, Herman",1915-1988,https://libris.kb.se/31fhjp9m3fqfj73#it,Arken_only
4540,,,"Jeisler, Daniel","Jeisler,-Daniel","Jeisler, Daniel",1877-1959,ediffah:kb:681977:1226581045,Arken_only
4544,,,"Jernfeltz, Crispin","Jernfeltz,-Crispin","Jernfeltz, Crispin",1749-1772,ediffah:kb:458678:1144844503,Arken_only
4545,,,Johan Nordlander-sällskapet,johan-nordlander-sallskapets-arkiv,Johan Nordlander-sällskapet,1979-,https://libris.kb.se/b8nqtr8v5m62krl#it,Arken_only
4547,,,"Johansdotter, Johanna Christina","Johansdotter,-Johanna-Christina","Johansdotter, Johanna Christina",1818-1901,ediffah:kb:556487:1240994613,Arken_only
4549,,,"Johansson, Anders","Johansson,-Anders","Johansson, Anders",1925-,ediffah:kb:390135:1382518510,Arken_only
4550,,,"Johansson, Arvid","Johansson,-Arvid","Johansson, Arvid",1882-1946,ediffah:kb:360447:x000001776,Arken_only
4551,,,"Johansson, Astrid Henrika","Johansson,-Astrid-Henrika","Johansson, Astrid Henrika",1875-1950,ediffah:kb:390135:1382518510,Arken_only
4553,,,"Johansson, Gustav","Johansson,-Gustav","Johansson, Gustav",,ediffah:kb:914428:1164983318,Arken_only
4558,,,"Johansson, John","Johansson,-John","Johansson, John",,ediffah:kb:873341:1149493744,Arken_only
4559,,,"Johansson, Karin",johansson-karin,"Johansson, Karin",1903-1975,https://libris.kb.se/mkz128754tmj3tg#it,Arken_only
4560,,,"Johansson, Karl-Erik",johansson-karl-erik,"Johansson, Karl-Erik",1914-2002,https://libris.kb.se/dbqsnb1x05vjzmm#it,Arken_only
4563,,,"Johansson, Valfrid Emanuel","Johansson,-Valfrid-Emanuel","Johansson, Valfrid Emanuel",1867-1963,https://libris.kb.se/64jmvmmq4gfr9pm#it,Arken_only
4564,,,John Dondorffs advokatkontor,John-Dondorffs-advokatkontor,John Dondorffs advokatkontor,,http://libris.kb.se/resource/bib/17260834,Arken_only
4566,,,"Jonsson, Claes","Jonsson,-Claes","Jonsson, Claes",,ediffah:kb:942069:1165848576,Arken_only
4569,,,"Josephson, Erik Semmy","Josephson,-Erik-Semmy","Josephson, Erik Semmy",1864-1929,ediffah:kb:445895:1232374701,Arken_only
4570,,,"Jouhandeneau, Marcel","Jouhandeneau,-Marcel","Jouhandeneau, Marcel",1888-1979,ediffah:kb:572923:1461148554,Arken_only
4573,,,Jungbeck (släkt),Jungbeck-släkt,Jungbeck (släkt),,http://libris.kb.se/resource/bib/17260922,Arken_only
4574,,,Juridiska föreningen i Uppsala,juridiska-foreningen-i-uppsala,Juridiska föreningen i Uppsala,,https://libris.kb.se/b8nqnb5v05qj7x0#it,Arken_only
4576,,,"Jäder, Astrid",jader-astrid,"Jäder, Astrid",1896-1995,https://libris.kb.se/hftwrfs106t4dzp#it,Arken_only
4577,,,"Jäder, Karl",jader-karl,"Jäder, Karl",1887-1974,https://libris.kb.se/86lnqdfs5smw4p2#it,Arken_only
4578,,,"Jäderlund, Christer Valdemar Oskar","Jäderlund,-Christer-Valdemar-Oskar","Jäderlund, Christer Valdemar Oskar",1901-1965,ediffah:kb:815070:1348770286,Arken_only
4580,,,"Järneström, Bertil",jarnestrom-bertil,"Järneström, Bertil",1924-2017,https://libris.kb.se/rp369dc95hwq798#it,Arken_only
4581,,,"Järnfeldt, Ivan, pseud. för Ivar Lundbäck","Järnfeldt,-Ivan","Järnfeldt, Ivan, pseud. för Ivar Lundbäck",1900-,https://libris.kb.se/97mpk7lt4krktc7#it,Arken_only
4586,,,KFUM/KFUK,kfum-kfuk,KFUM/KFUK,,https://libris.kb.se/53hlt4mp0sfbpg9#it,Arken_only
4590,,,"Kammecker, Martin",kammecker-martin,"Kammecker, Martin",1698-1757,https://libris.kb.se/jxrtrp98g9hf8t1d#it,Arken_only
4592,,,"Karlfeldt, Gerda","Karlfeldt,-Gerda","Karlfeldt, Gerda",1883-1981,ediffah:kb:747509:1365577537,Arken_only
4593,,,"Karlfeldt, Sune","Karlfeldt,-Sune","Karlfeldt, Sune",1907-2001,ediffah:kb:910714:1458216382,Arken_only
4594,,,Karlfeldt-samfundet,Karlfeldt-samfundet,Karlfeldt-samfundet,,https://libris.kb.se/c9prt7dw21rtk40#it,Arken_only
4595,,,"Karling, Karin","Karling,-Karin","Karling, Karin",1883-1957,https://libris.kb.se/tr58cmqc5pt8542#it,Arken_only
4598,,,"Karlsson, Klara","Karlsson,-Klara","Karlsson, Klara",,ediffah:kb:914428:1164983318,Arken_only
4602,,,Karlstadstidningen,Karlstadstidningen,Karlstadstidningen,1879-,https://libris.kb.se/42gkqtln228tbl2#it,Arken_only
4603,,,"Karlström, Lennart",karlstrom-lennart,"Karlström, Lennart",1943-,https://libris.kb.se/wt79bksf0d3d7n7#it,Arken_only
4605,,,"Kellgren, Ragna","Kellgren,-Ragna","Kellgren, Ragna",1913-1994,ediffah:kb:322327:1225887853,Arken_only
4606,,,"Kempe, Charlotte","Kempe,-Charlotte","Kempe, Charlotte",1822-1874,ediffah:kb:552671:1414673132,Arken_only
4607,,,"Kempe, Helfrid","Kempe,-Helfrid","Kempe, Helfrid",1885-1975,ediffah:kb:384952:1499061588,Arken_only
4608,,,"Kempe, Johan Carl Christopher","Kempe,-Johan-Carl-Christopher","Kempe, Johan Carl Christopher",1799-1872,ediffah:kb:552671:1414673132,Arken_only
4610,,,"Kerfstedt, Charlotte",Kerfstedt,"Kerfstedt, Charlotte",1843-1931,https://libris.kb.se/dbqt3zwx5dssgxk#it,Arken_only
4611,,,"Kernell, Sophie Carolina","Lindblad,-Sophie-Carolina-Wilhelmina","Kernell, Sophie Carolina",1802-1886,https://libris.kb.se/tr58c5bc52wjf5x#it,Arken_only
4615,,,"Kihl, Emma","Kihl,-Emma","Kihl, Emma",1976-,https://libris.kb.se/86lpxqss13gpcj4#it,Arken_only
4616,,,"Kingma, Jelle",kingma-jelle,"Kingma, Jelle",1934-,https://libris.kb.se/fcrtv40z221tmbp#it,Arken_only
4617,,,Kjellberg (släkt),Kjellberg-släkt,Kjellberg (släkt),,https://libris.kb.se/cwpxn0sp1m803nq#it,Arken_only
4618,,,"Kjellberg, Göran","Kjellberg,-Göran","Kjellberg, Göran",1920-,ediffah:kb:589563:1374149948,Arken_only
4621,,,"Klackenberg, Torsten","Klackenberg,-Torsten","Klackenberg, Torsten",1906-1988,https://libris.kb.se/rp36f6v94rqkxth#it,Arken_only
4622,,,Klara civiltryckeri,Klara-civiltryckeri,Klara civiltryckeri,,https://libris.kb.se/khw070x3563m83j#it,Arken_only
4623,,,Klara församlingsbibliotek (Stockholm),S:ta-Clara-församlingsbibliotek,Klara församlingsbibliotek (Stockholm),,https://libris.kb.se/fcrv3vvz1xzd4x5#it,Arken_only
4624,,,Klara församlingsbibliotek (Stockholm),Klara-församlingsbibliotek-Stockholm,Klara församlingsbibliotek (Stockholm),,https://libris.kb.se/fcrv3vvz1xzd4x5#it,Arken_only
4625,,,"Klein, Helena","Klein,-Helena","Klein, Helena",1885-1983,ediffah:kb:324559:1266567659,Arken_only
4626,,,"Kleman, Augusta","Kleman,-Augusta","Kleman, Augusta",1825-1909,ediffah:kb:883599:1474890921,Arken_only
4627,,,"Kleman, Carl","Kleman,-Carl","Kleman, Carl",1820-1872,ediffah:kb:883599:1474890921,Arken_only
4628,,,"Kleman, Dagny","Kleman,-Dagny","Kleman, Dagny",1890-1944,ediffah:kb:883599:1474890921,Arken_only
4629,,,"Kleman, Ivar","Kleman,-Ivar","Kleman, Ivar",1925-,ediffah:kb:883599:1474890921,Arken_only
4633,,,"Klercker, Carl Ulrik af","Klercker,-Carl-Ulrik-af","Klercker, Carl Ulrik af",1778-1828,ediffah:kb:703458:1193060017,Arken_only
4641,,,"Knoche, Elisabeth","Knoche,-Elisabeth","Knoche, Elisabeth",1888-1994,ediffah:kb:499705:1207747346,Arken_only
4644,,,"Koch, Ingeborg","Koch,-Ingeborg","Koch, Ingeborg",1889-1943,https://libris.kb.se/jgvxzm522kk30d5#it,Arken_only
4648,,,"Kockum, Anna","Kockum,-Anna","Kockum, Anna",1886-1978,ediffah:kb:495327:1270823290,Arken_only
4651,,,Konstnärsgillet,Konstnärsgillet,Konstnärsgillet,1845-1854,https://libris.kb.se/31fjpl9m3rkpm8r#it,Arken_only
4652,,,Konstnärsringen,Sällskapet-Konstnärsringen,Konstnärsringen,,https://libris.kb.se/nl03b3163c037x1#it,Arken_only
4653,,,Konstnärsringen,Konstnärsringen,Konstnärsringen,,https://libris.kb.se/nl03b3163c037x1#it,Arken_only
4657,,,"Krantz, Carl Teodor","Krantz,-Carl-Teodor","Krantz, Carl Teodor",1876-1969,ediffah:kb:716794:1461583477,Arken_only
4662,,,"Kriland, Maj Christel","Kriland,-Maj-Christel","Kriland, Maj Christel",1915-2004,ediffah:kb:475071:1367491890,Arken_only
4664,,,"Krinitz, Elise de","Krinitz,-Elise-de","Krinitz, Elise de",1830-1896,ediffah:kb:994478:1179757703,Arken_only
4665,,,Kristliga esperantoförbundet,kristliga-esperantoforbundet,Kristliga esperantoförbundet,,https://libris.kb.se/1zcfhzhk4g3216c#it,Arken_only
4669,,,"Kruks, David August","Kruks,-David-August","Kruks, David August",1839-1920,ediffah:kb:982783:1129112023,Arken_only
4671,,,"Krumlinde, Lars","Krumlinde,-Lars","Krumlinde, Lars",1942-,https://libris.kb.se/tr57bqxc22q5vkv#it,Arken_only
4672,,,"Kruse, Maria Sophia","Kruse,-Maria-Sophia","Kruse, Maria Sophia",1784-1864,ediffah:kb:587676:1189788900,Arken_only
4677,,,Kungl. Sjökrigsskolan,kungl-sjokrigsskolan,Kungl. Sjökrigsskolan,,https://libris.kb.se/b8nqnc9v2s5vnw4#it,Arken_only
4678,,,Kungl. Skytteanska samfundet,kungliga-skytteanska-samfundet-1956-1959,Kungl. Skytteanska samfundet,1956-,https://libris.kb.se/mkz1znm54nq1r71#it,Arken_only
4679,,,Kungliga biblioteket,Kungliga-biblioteket,Kungliga biblioteket,,https://libris.kb.se/20dgd3zl56pmrzk#it,Arken_only
4681,,,Kungliga operan,Kungliga-operan,Kungliga operan,1773-,https://libris.kb.se/31fhj7wm5nd1d89#it,Arken_only
4682,,,Kungliga teatrarnas arkiv,Kungliga-teatrarnas-arkiv,Kungliga teatrarnas arkiv,,ediffah:kb:667511:1164182840,Arken_only
4686,,,"Kvant, Gert-Inge","Kvant,-Gert-Inge","Kvant, Gert-Inge",1931-,ediffah:kb:409275:1142260220,Arken_only
4687,,,Kvinnoklubben,Kvinnoklubben,Kvinnoklubben,1988-2001,https://libris.kb.se/p71809p15dj47z6#it,Arken_only
4690,,,"Kåberg, Anders","Kåberg,-Anders","Kåberg, Anders",1843-1931,ediffah:kb:327423:1382524389,Arken_only
4691,,,"Körling, Einar","Körling,-Einar-Felix","Körling, Einar",1897-1965,https://libris.kb.se/97mqtwst2x5x3rm#it,Arken_only
4692,,,"Lachs, Charles","Lachs,-Charles","Lachs, Charles",1879-1979,ediffah:kb:645628:1149511161,Arken_only
4695,,,"Lager, Bertil","Lager,-Oskar-Bertil","Lager, Bertil",1915-1990,ediffah:kb:196605:1160475096,Arken_only
4696,,,"Lager, Rosa","Lager,-Rosa-Linnéa","Lager, Rosa",1911-1982,ediffah:kb:196605:1160475096,Arken_only
4697,,,Lagerberg (släkt),Lagerberg-släkt,Lagerberg (släkt),,https://libris.kb.se/l4x5w6px35k8qb6#it,Arken_only
4699,,,"Lagercrantz, Martina","Lagercrantz,-Martina","Lagercrantz, Martina",1921-,ediffah:kb:876511:1416296317,Arken_only
4704,,,"Lagerkvist, Elin","Lagerkvist,-Elin","Lagerkvist, Elin",1918-2009,https://libris.kb.se/wt7bjplf4m7fwcm#it,Arken_only
4706,,,Lagerlöf (släkt),Lagerlöf-släkt,Lagerlöf (släkt),,ediffah:kb:604981:1229708797,Arken_only
4707,,,"Lagerlöf, Gerda",lagerlof-gerda,"Lagerlöf, Gerda",1862-1952,https://libris.kb.se/0xbfpnqj5fdh7l5#it,Arken_only
4708,,,"Lagerlöf, Karl","Lagerlöf,-Karl","Lagerlöf, Karl",1890-1978,https://libris.kb.se/qn25d5382pf0mb2#it,Arken_only
4709,,,"Lagerlöf, Magnus","Lagerlöf,-Magnus","Lagerlöf, Magnus",1853-1941,ediffah:kb:567615:1416934475,Arken_only
4712,,,"Lagerman, Margareta","Lagerman,-Margareta","Lagerman, Margareta",1940-,https://libris.kb.se/1zcgnm5k154xjd2#it,Arken_only
4714,,,"Lahng, Lars Herman","Lahng,-Lars-Herman","Lahng, Lars Herman",1826-1898,https://libris.kb.se/wt7bgwtf3zrkx8c#it,Arken_only
4715,,,"Lamberg Wåhlin, Anna",lamberg-wahlin-anna,"Lamberg Wåhlin, Anna",1877-1949,https://libris.kb.se/lxpc7mbcj67bqpl1#it,Arken_only
